band5,band6,band7,band8,class
104,89,71,54,cloud
115,99,81,63,cloud
130,113,98,80,cloud
153,134,118,102,cloud
177,156,136,116,cloud
188,167,144,121,cloud
191,172,151,125,cloud
185,165,148,124,cloud
186,166,152,130,cloud
189,169,154,136,cloud
195,176,158,139,cloud
197,177,158,138,cloud
199,183,164,140,cloud
198,178,161,134,cloud
180,159,145,121,cloud
174,152,137,116,cloud
175,153,133,116,cloud
180,159,138,120,cloud
182,163,141,119,cloud
181,166,149,125,cloud
180,161,148,125,cloud
175,157,145,120,cloud
166,147,133,110,cloud
154,136,120,98,cloud
146,127,112,91,cloud
147,127,108,87,cloud
148,128,107,84,cloud
102,85,72,57,cloud
114,97,83,72,cloud
136,118,100,88,cloud
163,146,127,108,cloud
184,168,148,124,cloud
193,175,158,134,cloud
202,182,169,145,cloud
206,186,170,148,cloud
210,190,170,149,cloud
218,198,179,154,cloud
224,206,185,156,cloud
222,205,187,156,cloud
219,204,188,157,cloud
220,200,182,154,cloud
207,185,167,144,cloud
197,175,155,133,cloud
188,170,148,126,cloud
188,171,154,129,cloud
189,171,157,136,cloud
201,184,169,142,cloud
207,186,169,144,cloud
202,181,160,133,cloud
187,167,146,117,cloud
169,152,132,103,cloud
154,134,114,88,cloud
109,94,82,75,cloud
130,116,104,95,cloud
152,137,124,109,cloud
176,160,146,126,cloud
199,179,165,141,cloud
208,190,175,150,cloud
226,202,183,160,cloud
237,211,189,161,cloud
233,214,192,161,cloud
241,219,199,168,cloud
253,220,201,169,cloud
248,217,197,166,cloud
245,217,193,164,cloud
243,215,190,160,cloud
234,208,183,154,cloud
215,198,177,148,cloud
206,186,170,142,cloud
207,185,169,140,cloud
208,190,170,143,cloud
218,198,174,145,cloud
131,120,107,97,cloud
161,149,136,120,cloud
182,167,156,136,cloud
202,183,172,149,cloud
217,198,181,158,cloud
233,208,186,163,cloud
253,218,195,167,cloud
255,227,204,171,cloud
252,227,206,175,cloud
255,229,209,178,cloud
255,230,208,176,cloud
255,225,201,172,cloud
255,224,201,171,cloud
255,221,199,167,cloud
243,215,193,162,cloud
225,209,189,158,cloud
223,201,183,152,cloud
215,192,170,142,cloud
208,188,164,137,cloud
209,189,167,139,cloud
155,143,131,111,cloud
188,171,157,133,cloud
209,189,173,148,cloud
225,204,184,157,cloud
239,214,191,162,cloud
255,219,196,167,cloud
255,224,202,171,cloud
255,233,211,179,cloud
255,236,213,182,cloud
255,236,214,181,cloud
255,238,215,180,cloud
255,232,208,175,cloud
255,232,208,174,cloud
255,227,204,168,cloud
255,219,197,162,cloud
237,214,188,156,cloud
227,207,182,149,cloud
212,193,170,139,cloud
195,178,155,126,cloud
192,175,150,124,cloud
170,153,137,114,cloud
199,181,160,131,cloud
218,198,177,145,cloud
237,212,188,157,cloud
255,219,197,166,cloud
255,223,202,171,cloud
255,229,204,172,cloud
255,236,210,176,cloud
255,242,216,181,cloud
255,241,217,183,cloud
255,244,219,184,cloud
255,239,214,181,cloud
255,234,210,176,cloud
255,226,201,168,cloud
255,218,193,159,cloud
234,210,184,152,cloud
224,202,178,147,cloud
216,194,169,137,cloud
197,176,151,123,cloud
183,165,143,116,cloud
172,155,137,114,cloud
197,178,156,127,cloud
213,191,167,138,cloud
240,205,179,149,cloud
255,220,194,163,cloud
255,230,204,171,cloud
255,231,205,169,cloud
255,231,205,170,cloud
255,238,211,177,cloud
255,241,214,180,cloud
255,242,216,182,cloud
255,240,214,180,cloud
255,236,210,176,cloud
255,228,202,168,cloud
253,216,192,159,cloud
224,203,179,149,cloud
219,196,171,143,cloud
212,190,166,137,cloud
195,174,153,124,cloud
180,160,139,109,cloud
175,158,139,115,cloud
195,172,149,123,cloud
202,180,151,124,cloud
218,192,161,133,cloud
240,210,181,146,cloud
248,225,199,160,cloud
255,227,203,166,cloud
255,223,199,168,cloud
255,227,202,172,cloud
255,234,205,173,cloud
255,237,207,173,cloud
255,235,208,171,cloud
255,233,206,168,cloud
255,226,201,166,cloud
248,213,191,159,cloud
217,198,173,145,cloud
211,188,162,136,cloud
205,186,161,131,cloud
189,169,147,117,cloud
168,147,127,101,cloud
183,164,145,121,cloud
191,169,147,122,cloud
189,166,142,118,cloud
191,171,148,119,cloud
200,180,155,127,cloud
219,198,172,144,cloud
250,212,186,156,cloud
255,217,187,156,cloud
